stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
yongdingmennei,2017-01-01 14:00:00,415.0,111.1941493860879,143.0,6.7,12.0,12.0,beijing_grid_303,-2.52,1019.24,58.06,316.7,3.37
yongdingmennei,2017-01-01 15:00:00,409.0,115.11687706848618,143.0,0.7,12.0,13.0,beijing_grid_303,-2.47,1019.45,57.3,328.81,5.81
yongdingmennei,2017-01-01 16:00:00,401.0,120.76818304719491,134.0,7.1,12.0,11.0,beijing_grid_303,-2.17,1019.59,52.96,335.14,8.16
yongdingmennei,2017-01-01 17:00:00,407.0,128.14806732221402,126.0,7.2,12.0,10.0,beijing_grid_303,-1.87,1019.73,48.62,338.61,10.56
yongdingmennei,2017-01-01 18:00:00,415.0,137.2565298935436,142.0,7.3,13.0,12.0,beijing_grid_303,-1.57,1019.87,44.28,340.8,12.98
yongdingmennei,2017-01-01 19:00:00,426.0,148.09357076118357,120.0,7.6,13.0,10.0,beijing_grid_303,-1.86,1020.12,44.6,341.52,13.0
yongdingmennei,2017-01-01 20:00:00,384.0,159.8420799198689,109.0,7.1,12.0,11.0,beijing_grid_303,-2.14,1020.37,44.93,342.24,13.02
yongdingmennei,2017-01-01 21:00:00,252.0,171.6849473643345,105.0,0.5,10.0,12.0,beijing_grid_303,-2.42,1020.63,45.25,342.96,13.04
yongdingmennei,2017-01-01 22:00:00,97.0,183.62217309458046,92.0,2.2,9.0,12.0,beijing_grid_303,-2.73,1021.08,45.38,342.15,11.95
yongdingmennei,2017-01-01 23:00:00,59.0,195.65375711060668,94.0,1.7,8.0,13.0,beijing_grid_303,-3.04,1021.53,45.51,341.17,10.87
yongdingmennei,2017-01-02 00:00:00,49.0,207.77969941241324,93.0,1.7,8.0,13.0,beijing_grid_303,-3.35,1021.98,45.65,339.98,9.78
yongdingmennei,2017-01-02 01:00:00,207.0,220.0,121.0,5.9,12.0,13.0,beijing_grid_303,-1.01,1022.19,39.0,336.74,8.79
yongdingmennei,2017-01-02 02:00:00,381.0,232.31465887336716,148.0,8.1,14.0,16.0,beijing_grid_303,1.32,1022.39,32.36,332.69,7.82
yongdingmennei,2017-01-02 03:00:00,429.0,244.72367603251456,167.0,8.1,15.0,19.0,beijing_grid_303,3.66,1022.6,25.72,327.53,6.91
yongdingmennei,2017-01-02 04:00:00,353.0,257.2270514774423,159.0,6.4,18.0,23.0,beijing_grid_303,4.49,1022.09,24.9,312.91,3.82
yongdingmennei,2017-01-02 05:00:00,350.0,269.8247852081503,173.0,0.6,24.0,26.0,beijing_grid_303,5.32,1021.57,24.08,251.7,1.99
yongdingmennei,2017-01-02 06:00:00,328.0,282.5168772246386,165.0,5.3,31.0,28.0,beijing_grid_303,6.14,1021.06,23.26,194.27,3.98
yongdingmennei,2017-01-02 07:00:00,309.0,295.3033275269072,149.0,4.8,38.0,30.0,beijing_grid_303,4.11,1020.85,30.59,193.82,5.57
yongdingmennei,2017-01-02 08:00:00,267.0,308.1841361149561,131.0,4.1,46.0,26.0,beijing_grid_303,2.08,1020.64,37.93,193.56,7.15
yongdingmennei,2017-01-02 09:00:00,250.0,321.1593029887853,132.0,0.4,34.0,21.0,beijing_grid_303,0.06,1020.43,45.26,193.4,8.74
yongdingmennei,2017-01-02 10:00:00,191.0,334.2288281483948,134.0,3.1,17.0,20.0,beijing_grid_303,-0.5,1020.45,49.96,197.27,8.61
yongdingmennei,2017-01-02 11:00:00,202.0,347.3927115937846,128.0,3.1,22.0,21.0,beijing_grid_303,-1.05,1020.48,54.65,201.25,8.51
yongdingmennei,2017-01-02 12:00:00,199.0,360.6509533249547,108.0,0.3,28.0,20.0,beijing_grid_303,-1.6,1020.51,59.35,205.3,8.46
yongdingmennei,2017-01-02 13:00:00,241.0,374.00355334190505,133.0,3.8,13.0,15.0,beijing_grid_303,-1.88,1020.13,61.25,202.39,8.36
