station_id,utc_time,temperature,pressure,humidity,wind_direction,wind_speed,weather
beijing,2018-01-31 16:00:00,-4.8,1023.9,39,59,0.9,Sunny/clear
beijing,2018-01-31 17:00:00,-6.1,1023.4,42,0,0.0,Sunny/clear
beijing,2018-01-31 18:00:00,-7.0,1023.1,45,178,0.5,Sunny/clear
beijing,2018-01-31 19:00:00,-7.7,1022.8,47,0,0.0,Haze
beijing,2018-01-31 20:00:00,-6.3,1022.4,44,71,2.0,Sunny/clear
beijing,2018-01-31 21:00:00,-5.6,1022.5,40,72,1.3,Sunny/clear
beijing,2018-01-31 22:00:00,-5.8,1022.7,39,70,1.2,Sunny/clear
beijing,2018-01-31 23:00:00,-7.7,1023.2,46,0,0.0,Sunny/clear
beijing,2018-02-01 00:00:00,-7.1,1024.1,47,0,0.2,Hail
beijing,2018-02-01 01:00:00,-3.5,1024.4,41,279,0.7,Hail
beijing,2018-02-01 02:00:00,-0.7,1024.5,26,54,1.4,Sunny/clear
beijing,2018-02-01 03:00:00,1.7,1024.2,20,339,3.1,Sunny/clear
beijing,2018-02-01 04:00:00,3.2,1023.5,18,341,3.2,Sunny/clear
beijing,2018-02-01 05:00:00,3.4,1022.7,18,14,2.6,Sunny/clear
beijing,2018-02-01 06:00:00,4.9,1022.4,16,239,1.8,Sunny/clear
beijing,2018-02-01 07:00:00,4.8,1022.5,15,278,1.8,Sunny/clear
beijing,2018-02-01 08:00:00,5.0,1022.7,15,262,1.8,Sunny/clear
beijing,2018-02-01 09:00:00,3.7,1023.6,18,1,4.2,Sunny/clear
beijing,2018-02-01 10:00:00,3.2,1024.7,18,316,3.7,Sunny/clear
beijing,2018-02-01 11:00:00,2.4,1026.2,23,334,4.1,Sunny/clear
beijing,2018-02-01 12:00:00,2.0,1027.3,20,332,4.1,Sunny/clear
beijing,2018-02-01 13:00:00,1.6,1028.4,15,324,5.7,Sunny/clear
beijing,2018-02-01 14:00:00,0.2,1029.5,21,355,4.3,Sunny/clear
beijing,2018-02-01 15:00:00,-1.0,1030.3,21,355,5.4,Sunny/clear
beijing,2018-02-01 16:00:00,-2.4,1031.4,24,319,3.8,Sunny/clear
